Precio,Habitaciones,Baños,Parqueos,Sector,Condicion,Uso Actual,mt2,Piso/Nivel,Ascensor,Edificable,Agno Construccion,Planta Electrica,Seguridad 24 Horas,Control de Acceso,Piscina,Gimnasio,Medio baño
1500.0,2,2,2, Bella Vista,Segundo Uso,Comercial,132.0,10,True,False,2023,False,False,False,True,False,False
1400.0,2,2,2, Bella Vista,Nueva,Residencial,132.0,9,True,False,2023,True,True,True,True,True,True
1400.0,2,2,2, Evaristo Morales,Nueva,Residencial,125.0,5,True,False,2024,True,True,True,True,True,True
2700.0,2,2,2, Piantini,Segundo Uso,Residencial,145.0,12,True,False,2018,True,True,True,True,True,True
1900.0,3,3,2, La Esperilla,Segundo Uso,Residencial,255.0,3,True,False,2021,False,False,False,False,False,True
1400.0,2,2,2, Bella Vista Sur,Nueva,Residencial,132.0,9,True,False,2024,True,True,True,True,True,True
1500.0,2,2,2, Bella Vista Sur,Nueva,Residencial,132.0,11,True,False,2024,True,True,True,True,True,True
1800.0,2,2,2, Mirador Sur,Segundo Uso,Residencial,158.0,8,True,False,2020,True,True,False,False,True,True
1400.0,2,2,2, Bella Vista,Nueva,Residencial,155.0,5,True,False,2024,True,True,True,True,True,True
1500.0,3,3,2, Evaristo Morales,Segundo Uso,Residencial,186.0,3,True,False,2022,True,True,True,True,True,True
2300.0,2,2,2, Piantini,Segundo Uso,Residencial,145.0,5,True,False,2021,True,True,False,False,True,True
2400.0,2,2,2, Los Cacicazgos,Nueva,Residencial,120.0,6,True,False,2022,True,True,True,True,True,True
2000.0,1,2,1, Malecón,Segundo Uso,Residencial,168.0,22,True,False,2019,True,True,True,True,True,False
2000.0,1,2,1, Gazcue,Remodelada,Residencial,156.0,22,True,False,2009,True,True,True,True,False,False
1200.0,2,2,2, Evaristo Morales,Nueva,Residencial,86.0,8,True,False,2023,True,True,True,True,True,True
1450.0,2,2,2, Bella Vista,Nueva,Residencial,150.5397022332506,9,True,False,2024,True,True,False,True,True,True
1200.0,2,2,2, Bella Vista,Segundo Uso,Residencial,132.0,10,True,False,2023,True,True,True,True,True,True
1850.0,1,2,1, Piantini,Segundo Uso,Residencial,96.0,5,True,False,2021,True,True,True,True,True,False
2500.0,2,2,2, Piantini,Segundo Uso,Residencial,115.0,5,True,False,2021,True,True,True,True,True,True
1450.0,2,2,2, Ensanche Naco,Segundo Uso,Residencial,125.0,12,True,False,2023,True,True,True,True,True,True
2800.0,2,2,2, Evaristo Morales,Nueva,Residencial,123.0,10,True,False,2023,True,True,True,True,True,True
1350.0,3,3,2, Mirador Sur,Nueva,Residencial,145.0,3,True,False,2020,True,True,True,False,False,True
1400.0,3,3,2, Los Prados,Segundo Uso,Residencial,335.0,4,False,True,2013,True,True,True,False,False,True
